[Epoch 1/3000] D Loss: 0.6330 | G Loss: 0.3191 | W Dist: 0.0132 | Aux MSE: 0.1190

[Epoch 2/3000] D Loss: 0.3078 | G Loss: 0.2288 | W Dist: 0.0347 | Aux MSE: 0.0207

[Epoch 3/3000] D Loss: 0.2505 | G Loss: 0.2184 | W Dist: 0.0634 | Aux MSE: 0.0070

[Epoch 4/3000] D Loss: 0.2196 | G Loss: 0.2059 | W Dist: 0.0893 | Aux MSE: 0.0036

[Epoch 5/3000] D Loss: 0.1689 | G Loss: 0.1928 | W Dist: 0.1202 | Aux MSE: 0.0022

[Epoch 6/3000] D Loss: 0.1337 | G Loss: 0.1547 | W Dist: 0.1499 | Aux MSE: 0.0014

[Epoch 7/3000] D Loss: 0.1061 | G Loss: 0.1304 | W Dist: 0.1818 | Aux MSE: 0.0010

[Epoch 8/3000] D Loss: 0.0731 | G Loss: 0.1037 | W Dist: 0.2137 | Aux MSE: 0.0007

[Epoch 9/3000] D Loss: 0.0301 | G Loss: 0.1169 | W Dist: 0.2484 | Aux MSE: 0.0005

[Epoch 10/3000] D Loss: 0.0120 | G Loss: 0.1364 | W Dist: 0.2868 | Aux MSE: 0.0003

[Epoch 11/3000] D Loss: -0.0466 | G Loss: 0.1370 | W Dist: 0.3296 | Aux MSE: 0.0002

[Epoch 12/3000] D Loss: -0.0818 | G Loss: 0.1423 | W Dist: 0.3685 | Aux MSE: 0.0002

[Epoch 13/3000] D Loss: -0.1476 | G Loss: 0.1598 | W Dist: 0.4322 | Aux MSE: 0.0001

[Epoch 14/3000] D Loss: -0.1848 | G Loss: 0.1976 | W Dist: 0.4860 | Aux MSE: 0.0001

[Epoch 15/3000] D Loss: -0.2448 | G Loss: 0.2358 | W Dist: 0.5532 | Aux MSE: 0.0001

[Epoch 16/3000] D Loss: -0.2966 | G Loss: 0.2570 | W Dist: 0.6189 | Aux MSE: 0.0000

[Epoch 17/3000] D Loss: -0.3503 | G Loss: 0.2943 | W Dist: 0.6977 | Aux MSE: 0.0000

